model_family,spec,feature_spec_role,n_features,feature_list,cv_mean_mae,cv_std_mae,cv_mean_rmse,cv_std_rmse,cv_mean_r2,cv_std_r2,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,rank_test_rmse,rank_test_mae,rank_test_r2
ols,sentiment_extreme_only,RQ2_standalone_sentiment,1,sentiment_extreme_lag1,0.0115089824183701,0.0045212601512444,0.0146183755699005,0.0053142500980447,-0.0143902845139863,0.0204825650818911,0.012368827726195,0.0174756220086063,0.0003767583072005,0.0085525189157313,0.0114544702291852,0.0037625338025732,1.0,4.0,1.0
ols,macro_mean,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_mean_lag1",0.0118356507767004,0.0040740476396976,0.0148724251445134,0.0048898150079848,-0.0681026085555926,0.1052293732301088,0.0123565349899598,0.0174299627425745,0.005593446796671,0.0086095961395021,0.0114691119648647,0.0012140146498611,2.0,9.0,2.0
ols,sentiment_mean_only,RQ2_standalone_sentiment,1,sentiment_mean_lag1,0.0114938856714487,0.0044055728315877,0.0146039318927499,0.0051803179726496,-0.0161052288605585,0.0122249122049409,0.0123659849954286,0.0174432855680516,0.0040726898774444,0.00856721753255,0.0114706616904481,0.0009440811498258,3.0,7.0,3.0
historical_mean,historical_mean,naive_baseline,0,<none>,0.011448710083253594,0.004437381695886028,0.014591726208175365,0.005243104986867282,-0.012392596803555497,0.009208154096373357,0.012370016313726941,0.017478914982009534,0.0,0.008548243971143519,0.011478692023032028,-0.00045523822369064604,4.0,3.0,4.0
random_forest,macro_only,RQ1_macro_baseline,2,"dgs10_lag1, vix_lag1",0.0123823319726753,0.0042289794578265,0.0157272798467763,0.0048320720310425,-0.2108182846460924,0.2055861198744994,0.0116461843556565,0.0160586602030186,0.1559082075971231,0.0085305201699653,0.0114833199733322,-0.0012621229241795,5.0,1.0,5.0
ols,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_extreme_lag1",0.0120576049949711,0.0045296307624997,0.0151231594630606,0.0053451288641742,-0.0919984570426148,0.0799479564243328,0.0123598558465552,0.0174572264642043,0.0024801381377677,0.0086374816117521,0.0114974227046713,-0.0037229446212099,6.0,12.0,6.0
ols,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_extreme_lag1",0.0120038290556215,0.0043718760269808,0.0150257238738493,0.0051696520062107,-0.0828993052757889,0.0950343677092042,0.0123534075414302,0.0174279764673135,0.0058200740847104,0.008625410704677,0.0114979174339168,-0.0038093260288354,7.0,10.0,7.0
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_extreme_lag1",0.0119444741597064,0.0043740866382398,0.0152063204187199,0.0050655129054099,-0.1137775834417269,0.0924172266930023,0.0115352966757676,0.0159312924608678,0.1692447763346765,0.00854749055997,0.0115000178751821,-0.0041761116016725,8.0,2.0,8.0
ols,macro_only,RQ1_macro_baseline,2,"dgs10_lag1, vix_lag1",0.0117950976002602,0.0040790562021331,0.0148822616892747,0.0049112892841339,-0.0680953518932351,0.0875090920016479,0.0123597093876514,0.0174572831877778,0.002473655666648,0.0086361194272975,0.0115000402186802,-0.0041800136528016,9.0,11.0,9.0
ols,sentiment_std_only,RQ2_standalone_sentiment,1,sentiment_std_lag1,0.0114764066262199,0.0044727593340621,0.0146121356287357,0.0052745525636589,-0.0145276538985764,0.0116742586405098,0.0123627373768194,0.0174765886793488,0.0002661661615707,0.0086000250744826,0.01153177428218,-0.0097296777228048,10.0,8.0,10.0
