model_family,spec,regime_type,regime_label,n_obs,mae,rmse,r2
ols,macro_extreme,vix_regime,high_vix,4,0.01392669207760889,0.016621420876745185,-0.0760155841572201
ols,macro_extreme,vix_regime,normal_vix,248,0.008552171765528629,0.011395913448066723,-0.004708840043211815
ols,macro_mean,vix_regime,high_vix,4,0.013801463455970324,0.016583028513637455,-0.0710505367949561
ols,macro_mean,vix_regime,normal_vix,248,0.008525856344075195,0.01136779300853237,0.00024346081227744065
ols,macro_mean_extreme,vix_regime,high_vix,4,0.013529483020293788,0.016316221594621174,-0.03686319334399979
ols,macro_mean_extreme,vix_regime,normal_vix,248,0.00854631276410261,0.011403531957006332,-0.0060526448915954045
ols,macro_mean_std,vix_regime,high_vix,4,0.013352403252377939,0.016062334894635773,-0.004846262206259722
ols,macro_mean_std,vix_regime,normal_vix,248,0.008672035524437441,0.011571536762210927,-0.03591475288416457
ols,macro_only,vix_regime,high_vix,4,0.013883985326009972,0.016574600224060935,-0.06996209507162376
ols,macro_only,vix_regime,normal_vix,248,0.008551476428931172,0.011399696447841863,-0.005375999230466499
ols,macro_std,vix_regime,high_vix,4,0.013609919764554196,0.01619190160656788,-0.02112281652653536
ols,macro_std,vix_regime,normal_vix,248,0.008619060936120849,0.011500940573362222,-0.023313392748891548
ols,sentiment_extreme_only,vix_regime,high_vix,4,0.014429811445248299,0.017168047918617625,-0.14795298546196967
ols,sentiment_extreme_only,vix_regime,normal_vix,248,0.008457723874932663,0.011338747505243576,0.005345829269683966
ols,sentiment_mean_only,vix_regime,high_vix,4,0.014010177778441352,0.016749066251030544,-0.09260571822686137
ols,sentiment_mean_only,vix_regime,normal_vix,248,0.0084794278511647,0.011365455439529442,0.0006545801236658155
ols,sentiment_std_only,vix_regime,high_vix,4,0.014047998894985864,0.0167346425516687,-0.09072470224178364
ols,sentiment_std_only,vix_regime,normal_vix,248,0.0085121545289907,0.011428463531380793,-0.01045652526481966
random_forest,macro_extreme,vix_regime,high_vix,4,0.012396341839611748,0.016577774590889483,-0.07037197252033223
random_forest,macro_extreme,vix_regime,normal_vix,248,0.008485412313524237,0.011399599095081906,-0.005358827595968618
random_forest,macro_mean,vix_regime,high_vix,4,0.01394808082998937,0.017176919796006704,-0.14913974002941388
random_forest,macro_mean,vix_regime,normal_vix,248,0.008470414546109249,0.011460297515575936,-0.01609361853733282
random_forest,macro_mean_extreme,vix_regime,high_vix,4,0.013243470274763131,0.016894393489085086,-0.11164848017582685
random_forest,macro_mean_extreme,vix_regime,normal_vix,248,0.008480934984480763,0.011464829344535809,-0.01689738003262775
random_forest,macro_mean_std,vix_regime,high_vix,4,0.01383111482399878,0.01706269215056965,-0.13390684929046626
random_forest,macro_mean_std,vix_regime,normal_vix,248,0.008833760628062256,0.011884596202670666,-0.0927248012151849
random_forest,macro_only,vix_regime,high_vix,4,0.012713411204619166,0.016741321931624743,-0.09159556860333185
random_forest,macro_only,vix_regime,normal_vix,248,0.00846305418553546,0.011378620522297126,-0.0016619280142384785
random_forest,macro_std,vix_regime,high_vix,4,0.013058217138325149,0.016586337114309724,-0.07147796560094322
random_forest,macro_std,vix_regime,normal_vix,248,0.008926220773852845,0.011954336639760515,-0.105586946603063
random_forest,sentiment_extreme_only,vix_regime,high_vix,4,0.014389972625203187,0.017019331839271432,-0.12815112426770403
random_forest,sentiment_extreme_only,vix_regime,normal_vix,248,0.009002020325343196,0.011826110990259443,-0.08199646147310702
random_forest,sentiment_mean_only,vix_regime,high_vix,4,0.01688480346610212,0.01873827754651354,-0.3675449271975657
random_forest,sentiment_mean_only,vix_regime,normal_vix,248,0.008954785230265057,0.01210538291263702,-0.13370223309981366
random_forest,sentiment_std_only,vix_regime,high_vix,4,0.015903434355485135,0.01808105841934786,-0.2732977363696465
random_forest,sentiment_std_only,vix_regime,normal_vix,248,0.00904010694632671,0.011956939800020593,-0.10606850128017786
xgboost,macro_extreme,vix_regime,high_vix,4,0.015760761019582063,0.017708256717061877,-0.2213324239290544
xgboost,macro_extreme,vix_regime,normal_vix,248,0.008816635742477584,0.011838465022194877,-0.08425823640710806
xgboost,macro_mean,vix_regime,high_vix,4,0.015673054079915535,0.017292739221352642,-0.16468867550370114
xgboost,macro_mean,vix_regime,normal_vix,248,0.008750901900929297,0.011616167730052336,-0.043921129238526424
xgboost,macro_mean_extreme,vix_regime,high_vix,4,0.019160515850334563,0.021037571790220266,-0.7237468686640052
xgboost,macro_mean_extreme,vix_regime,normal_vix,248,0.008719790224313033,0.011757654125733583,-0.06950618407809772
xgboost,macro_mean_std,vix_regime,high_vix,4,0.017445300839998894,0.01908888425733723,-0.41919919976251396
xgboost,macro_mean_std,vix_regime,normal_vix,248,0.00946973614048563,0.01260765107817165,-0.22973150998652203
xgboost,macro_only,vix_regime,high_vix,4,0.015203748680168433,0.017407937968124038,-0.18025793556461633
xgboost,macro_only,vix_regime,normal_vix,248,0.0089276314024053,0.011730217253526,-0.0645205523012633
xgboost,macro_std,vix_regime,high_vix,4,0.016674785077729397,0.01813624387258437,-0.2810820975820616
xgboost,macro_std,vix_regime,normal_vix,248,0.009592552430030647,0.012772378378041533,-0.2620759503186194
xgboost,sentiment_extreme_only,vix_regime,high_vix,4,0.014389168787264867,0.017133125042718425,-0.14328745273368404
xgboost,sentiment_extreme_only,vix_regime,normal_vix,248,0.009559503253303972,0.012428384477809388,-0.1950093381975988
xgboost,sentiment_mean_only,vix_regime,high_vix,4,0.020643598403357107,0.02387045988948215,-1.2192377980391478
xgboost,sentiment_mean_only,vix_regime,normal_vix,248,0.009983619872743505,0.01321771621531836,-0.35162054914534724
xgboost,sentiment_std_only,vix_regime,high_vix,4,0.017387866307789594,0.01937182580892989,-0.4615826489564061
xgboost,sentiment_std_only,vix_regime,normal_vix,248,0.009435487720288419,0.012269973549594212,-0.16474054126005
ols,macro_extreme,sentiment_regime,high_extreme_sentiment,31,0.0067877459478657915,0.00916578807595638,-0.076427472543668
ols,macro_extreme,sentiment_regime,normal_extreme_sentiment,221,0.00889694679537419,0.011787657834726711,-0.0011100733231685922
ols,macro_mean,sentiment_regime,high_extreme_sentiment,31,0.006575558801740168,0.009062735424479216,-0.05235859635439799
ols,macro_mean,sentiment_regime,normal_extreme_sentiment,221,0.00889491359412029,0.011767368985834194,0.002333170683311958
ols,macro_mean_extreme,sentiment_regime,high_extreme_sentiment,31,0.006696194968857141,0.009261949655537834,-0.09913232903631175
ols,macro_mean_extreme,sentiment_regime,normal_extreme_sentiment,221,0.008896024676669913,0.011777660325438869,0.0005873568327041667
ols,macro_mean_std,sentiment_regime,high_extreme_sentiment,31,0.007099150366337151,0.00965919431648375,-0.1954377223511512
ols,macro_mean_std,sentiment_regime,normal_extreme_sentiment,221,0.008977379012278484,0.01190972988334737,-0.0219522703311108
ols,macro_only,sentiment_regime,high_extreme_sentiment,31,0.00681815120572774,0.00920503149498608,-0.08566467621489804
ols,macro_only,sentiment_regime,normal_extreme_sentiment,221,0.008891128544350275,0.01178627976766794,-0.0008760122075677224
ols,macro_std,sentiment_regime,high_extreme_sentiment,31,0.0071041448884446344,0.009622724193689562,-0.1864275599528631
ols,macro_std,sentiment_regime,normal_extreme_sentiment,221,0.008921892758707708,0.011840106416962272,-0.010038669303535919
ols,sentiment_extreme_only,sentiment_regime,high_extreme_sentiment,31,0.006606751962799464,0.008840951450633005,-0.001482031021625252
ols,sentiment_extreme_only,sentiment_regime,normal_extreme_sentiment,221,0.008825454551662943,0.011774771084642956,0.0010776392014283376
ols,sentiment_mean_only,sentiment_regime,high_extreme_sentiment,31,0.0065639658395636544,0.008957836881772084,-0.028138091894807316
ols,sentiment_mean_only,sentiment_regime,normal_extreme_sentiment,221,0.008848216638806056,0.011780350994970377,0.00013066233779335246
ols,sentiment_std_only,sentiment_regime,high_extreme_sentiment,31,0.006867119206102756,0.0092203313384583,-0.0892766799150666
ols,sentiment_std_only,sentiment_regime,normal_extreme_sentiment,221,0.008843102368237337,0.011819909645522509,-0.006595774324142045
random_forest,macro_extreme,sentiment_regime,high_extreme_sentiment,31,0.006934105546566311,0.009119712151685088,-0.0656323879117473
random_forest,macro_extreme,sentiment_regime,normal_extreme_sentiment,221,0.00877380248492716,0.011795554796398364,-0.0024518794987393733
random_forest,macro_mean,sentiment_regime,high_extreme_sentiment,31,0.00733472001627199,0.009546326422677233,-0.16766351598328066
random_forest,macro_mean,sentiment_regime,normal_extreme_sentiment,221,0.008728863394799183,0.011829675746978947,-0.008259844176382591
random_forest,macro_mean_extreme,sentiment_regime,high_extreme_sentiment,31,0.007388070108657551,0.009630371143718855,-0.1883139607168025
random_forest,macro_mean_extreme,sentiment_regime,normal_extreme_sentiment,221,0.008720432506252929,0.011817677911029204,-0.006215696557128281
random_forest,macro_mean_std,sentiment_regime,high_extreme_sentiment,31,0.010056839073594758,0.012967120192659417,-1.1544291807418254
random_forest,macro_mean_std,sentiment_regime,normal_extreme_sentiment,221,0.008752647437891389,0.011839887514793675,-0.010001322069748575
random_forest,macro_only,sentiment_regime,high_extreme_sentiment,31,0.006729100781994762,0.009008474484746636,-0.03979483462232447
random_forest,macro_only,sentiment_regime,normal_extreme_sentiment,221,0.00878320795741825,0.01178899358015722,-0.0013369723374032638
random_forest,macro_std,sentiment_regime,high_extreme_sentiment,31,0.010234769357703281,0.013639219360882278,-1.3835495166213025
random_forest,macro_std,sentiment_regime,normal_extreme_sentiment,221,0.008817455974570156,0.011800429024845623,-0.003280528782357184
