model_family,spec,feature_spec_role,regime_type,regime_label,n_obs,mae,rmse,r2
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,high_extreme_sentiment,31,0.006863905705469279,0.00862003539550757,0.04794234723116464
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,normal_extreme_sentiment,221,0.008814356067365295,0.011774733645778772,0.0010839915048185267
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,vix_regime,high_vix,4,0.012981902673679614,0.016426038279070243,-0.05086742373246178
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,vix_regime,normal_vix,248,0.008503331278478061,0.011335179016872692,0.005971798462635292
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,high_extreme_sentiment,31,0.007380474302916966,0.009725885942111854,-0.2120024407435659
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,normal_extreme_sentiment,221,0.008722055985974395,0.0116593962748689,0.02055756573654044
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,vix_regime,high_vix,4,0.013716729415787233,0.01705410297094527,-0.13276554307900268
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,vix_regime,normal_vix,248,0.00847379902672427,0.011325834925397179,0.007609966162576254
random_forest,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,high_extreme_sentiment,31,0.00741175460289428,0.009521589817085624,-0.1616200164881394
random_forest,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,normal_extreme_sentiment,221,0.008730028295492055,0.011672975533076363,0.018274798007681725
random_forest,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,vix_regime,high_vix,4,0.013532382239242927,0.016767963813865545,-0.09507262987289278
random_forest,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,vix_regime,normal_vix,248,0.008487786762243932,0.011323491048623735,0.00802067306044918
random_forest,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,high_extreme_sentiment,31,0.008616041608890047,0.011304347204522799,-0.6373296491485034
random_forest,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,normal_extreme_sentiment,221,0.008763789700692831,0.011707099516830476,0.012526590773145774
random_forest,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_regime,high_vix,4,0.013737171736020121,0.016895204666702666,-0.11175523346232619
random_forest,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_regime,normal_vix,248,0.008665105349938012,0.011554404978824944,-0.032849657874532756
random_forest,macro_only,RQ1_macro_baseline,sentiment_regime,high_extreme_sentiment,31,0.0067691874497446125,0.009059386621625696,-0.051581018681325475
random_forest,macro_only,RQ1_macro_baseline,sentiment_regime,normal_extreme_sentiment,221,0.008792630086397813,0.0117683009815135,0.002175130598542241
random_forest,macro_only,RQ1_macro_baseline,vix_regime,high_vix,4,0.012536176060188954,0.0163276893708181,-0.038321213949342514
random_forest,macro_only,RQ1_macro_baseline,vix_regime,normal_vix,248,0.00847931998304534,0.01137427877368331,-0.0008976640931075419
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,high_extreme_sentiment,31,0.008658456073667017,0.011775496705671904,-0.7766571198049175
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,normal_extreme_sentiment,221,0.008812831764051258,0.011776895712797938,0.0007171175346405434
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,vix_regime,high_vix,4,0.013098549937880833,0.016404991999326816,-0.048176247624238
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,vix_regime,normal_vix,248,0.00872441031607856,0.011687064155041916,-0.05670264712375195
random_forest,sentiment_extreme_only,RQ2_standalone_sentiment,sentiment_regime,high_extreme_sentiment,31,0.008057402439778564,0.010104067542361327,-0.3080900174396546
random_forest,sentiment_extreme_only,RQ2_standalone_sentiment,sentiment_regime,normal_extreme_sentiment,221,0.008875162338287475,0.011870757647141293,-0.015274939876655624
random_forest,sentiment_extreme_only,RQ2_standalone_sentiment,vix_regime,high_vix,4,0.014472451953642109,0.017015155553256122,-0.1275975298322909
random_forest,sentiment_extreme_only,RQ2_standalone_sentiment,vix_regime,normal_vix,248,0.008682663486210076,0.011561369489075516,-0.034095149953091486
random_forest,sentiment_mean_only,RQ2_standalone_sentiment,sentiment_regime,high_extreme_sentiment,31,0.008057139647189132,0.011018649382849324,-0.5556141247649602
random_forest,sentiment_mean_only,RQ2_standalone_sentiment,sentiment_regime,normal_extreme_sentiment,221,0.00893632988785879,0.012384630825129224,-0.10507796653812429
