model_family,spec,feature_spec_role,n_features,feature_list,cv_mean_mae,cv_std_mae,cv_mean_rmse,cv_std_rmse,cv_mean_r2,cv_std_r2,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,macro_only_cv_mean_mae,macro_only_cv_mean_rmse,macro_only_cv_mean_r2,macro_only_test_mae,macro_only_test_rmse,macro_only_test_r2,delta_cv_mae_vs_macro_only,delta_cv_rmse_vs_macro_only,delta_cv_r2_vs_macro_only,delta_test_mae_vs_macro_only,delta_test_rmse_vs_macro_only,delta_test_r2_vs_macro_only,delta_interpretation
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_extreme_lag1",0.011580894361032,0.0043191234944314,0.0147679009224781,0.0050333275416667,-0.0460944657128686,0.0594947936941628,0.0116553304977963,0.0156556639691504,0.1977420261808771,0.0085744197133225,0.0114337042150782,0.0073714529665747,0.0116896139793932,0.0149029840207467,-0.069473816190239,0.0085437145239523,0.0114696251254945,0.0011246356093569,-0.00010871961836119923,-0.00013508309826860097,0.0233793504773704,3.0705189370199004e-05,-3.5920910416301424e-05,0.0062468173572178005,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only."
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_mean_lag1",0.0117204519604689,0.0042124363072444,0.0149202378399881,0.0049312844297318,-0.0737622772258818,0.0967404446975592,0.011629520339106,0.0156244398175124,0.2009389323734357,0.0085570201440109,0.0114391861370362,0.0064193876341182,0.0116896139793932,0.0149029840207467,-0.069473816190239,0.0085437145239523,0.0114696251254945,0.0011246356093569,3.083798107570042e-05,1.7253819241398738e-05,-0.004288461035642802,1.3305620058599865e-05,-3.0438988458300273e-05,0.0052947520247613004,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only."
random_forest,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_extreme_lag1",0.0116666497498357,0.0042420340427478,0.0148400805526739,0.0049604523732678,-0.0596701841005937,0.0738312606789058,0.0116375368670642,0.0156480170754322,0.19852554877411,0.0085678597063232,0.0114301845457302,0.0079824861827262,0.0116896139793932,0.0149029840207467,-0.069473816190239,0.0085437145239523,0.0114696251254945,0.0011246356093569,-2.2964229557500063e-05,-6.290346807280058e-05,0.009803632089645298,2.4145182370899354e-05,-3.9440579764300765e-05,0.0068578505733692995,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only."
random_forest,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_std_lag1",0.0116326170158463,0.0042741567245104,0.0148154895334401,0.0050143256231044,-0.0539963246666473,0.0636344270537413,0.0115878804492206,0.0155953680213112,0.203909730567224,0.0087456143401932,0.0116583051359071,-0.032009490096285,0.0116896139793932,0.0149029840207467,-0.069473816190239,0.0085437145239523,0.0114696251254945,0.0011246356093569,-5.6996963546900384e-05,-8.749448730660005e-05,0.0154774915235917,0.0002018998162408997,0.0001886800104125997,-0.0331341257056419,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only."
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_std_lag1",0.0115686244376382,0.004333610759427,0.0147484459177969,0.0050771876948022,-0.0416096097601194,0.0508261644840301,0.0116203944071637,0.0155731383264824,0.2061776130754778,0.0087938411037262,0.0117767236216797,-0.0530811063782155,0.0116896139793932,0.0149029840207467,-0.069473816190239,0.0085437145239523,0.0114696251254945,0.0011246356093569,-0.0001209895417550004,-0.00015453810294980067,0.027864206430119602,0.00025012657977389885,0.00030709849618519927,-0.054205741987572394,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only."
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_extreme_lag1",0.0116547968842335,0.0043854997031051,0.0148521628492902,0.0051411739133965,-0.0555452051331897,0.0535856992737481,0.0119086831512039,0.0164906918985123,0.1098794748777823,0.0085640939184488,0.011444013809996,0.0055805701922616,0.011897264545632,0.0150523893294389,-0.0931386456431399,0.008540440683733,0.0114734494104998,0.0004584201263282,-0.00024246766139850162,-0.00020022648014870158,0.03759344050995019,2.3653234715799096e-05,-2.9435600503798995e-05,0.0051221500659334,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only."
xgboost,macro_mean,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_mean_lag1",0.0116439992127628,0.0043526507890456,0.0148621267194723,0.0050782171797099,-0.0588418267684949,0.0516740042031681,0.011920399473494,0.0164509509933764,0.1141645068756379,0.0085592827913576,0.0114042814380966,0.0124736157505843,0.011897264545632,0.0150523893294389,-0.0931386456431399,0.008540440683733,0.0114734494104998,0.0004584201263282,-0.0002532653328692,-0.0001902626099666016,0.034296818874644995,1.884210762460002e-05,-6.916797240319981e-05,0.0120151956242561,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only."
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_extreme_lag1",0.0115964206628656,0.0042652056797149,0.0148137962681874,0.0049862972928435,-0.0542541835224315,0.0549496311753651,0.0118715250423019,0.0164336961408685,0.1160217788162194,0.0085318276599148,0.0113861618251242,0.0156091716244326,0.011897264545632,0.0150523893294389,-0.0931386456431399,0.008540440683733,0.0114734494104998,0.0004584201263282,-0.0003008438827664002,-0.00023859306125150088,0.038884462120708396,-8.613023818200213e-06,-8.728758537559882e-05,0.015150751498104399,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only."
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_std_lag1",0.0115983462482215,0.0043153802009269,0.0148297088899025,0.0050519196591625,-0.05457177390046,0.0481138526121859,0.0118435568565794,0.0163826899262761,0.1215005719916637,0.0086620659146771,0.0115641545698545,-0.0154081170619622,0.011897264545632,0.0150523893294389,-0.0931386456431399,0.008540440683733,0.0114734494104998,0.0004584201263282,-0.0002989182974105012,-0.00022268043953640147,0.03856687174267989,0.00012162523094409912,9.070515935470126e-05,-0.0158665371882904,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only."
xgboost,macro_std,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_std_lag1",0.0116847775882766,0.004408723900187,0.0148423515571084,0.0051884457961177,-0.0523634344661002,0.0428390217457193,0.0119608575951919,0.0165425110998392,0.104276580166036,0.0087309069142846,0.0116884241424294,-0.0373487313489422,0.011897264545632,0.0150523893294389,-0.0931386456431399,0.008540440683733,0.0114734494104998,0.0004584201263282,-0.00021248695735540113,-0.00021003777233050136,0.040775211177039694,0.0001904662305515989,0.00021497473192959998,-0.0378071514752704,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only."
