model_family,spec,feature_spec_role,n_features,feature_list,cv_mean_mae,cv_std_mae,cv_mean_rmse,cv_std_rmse,cv_mean_r2,cv_std_r2,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_extreme_lag1",0.011580894361032032,0.004319123494431422,0.01476790092247815,0.005033327541666769,-0.04609446571286865,0.05949479369416284,0.011655330497796351,0.015655663969150423,0.1977420261808771,0.00857441971332253,0.01143370421507829,0.00737145296657471
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_mean_lag1",0.011720451960468956,0.004212436307244443,0.014920237839988198,0.004931284429731827,-0.07376227722588184,0.09674044469755923,0.011629520339106013,0.015624439817512499,0.20093893237343574,0.00855702014401098,0.011439186137036293,0.006419387634118201
random_forest,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_extreme_lag1",0.011666649749835707,0.0042420340427478985,0.014840080552673942,0.004960452373267879,-0.05967018410059377,0.07383126067890582,0.011637536867064292,0.015648017075432254,0.19852554877411,0.008567859706323282,0.011430184545730212,0.007982486182726234
random_forest,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_std_lag1",0.011632617015846385,0.004274156724510427,0.014815489533440177,0.005014325623104473,-0.053996324666647354,0.06363442705374138,0.01158788044922069,0.015595368021311281,0.20390973056722406,0.008745614340193282,0.011658305135907111,-0.032009490096285065
random_forest,macro_only,RQ1_macro_baseline,2,"dgs10_lag1, vix_lag1",0.011689613979393254,0.0042697280608373495,0.014902984020746772,0.004972906338630989,-0.069473816190239,0.08729867291187587,0.011663111890358341,0.015631426893813083,0.20022411007402308,0.00854371452395238,0.011469625125494504,0.0011246356093569387
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_std_lag1",0.011568624437638215,0.004333610759427057,0.014748445917796914,0.005077187694802296,-0.04160960976011944,0.050826164484030115,0.011620394407163715,0.01557313832648247,0.20617761307547788,0.008793841103726212,0.011776723621679728,-0.053081106378215503
random_forest,sentiment_extreme_only,RQ2_standalone_sentiment,1,sentiment_extreme_lag1,0.011820425386230515,0.004652244614032195,0.014998525701115794,0.005465396620336114,-0.06803035221263583,0.048247466537196304,0.011914633597499375,0.016711095084243798,0.08592700037431533,0.008774564890455031,0.011667865186875195,-0.033702722242406224
random_forest,sentiment_mean_only,RQ2_standalone_sentiment,1,sentiment_mean_lag1,0.011830208048379537,0.004176322503024341,0.015090358287091132,0.004932355252330087,-0.09937755146175127,0.09864170241073629,0.011927644702428844,0.016383274634382234,0.12143786252141897,0.008828175532855776,0.012224829419072327,-0.1347455037413372
random_forest,sentiment_std_only,RQ2_standalone_sentiment,1,sentiment_std_lag1,0.011636772468962041,0.004425829475112682,0.014871667008744165,0.00518379409790487,-0.056826956866107725,0.05351614407133046,0.01186728283312874,0.01672703617440203,0.08418225893396813,0.008955603509290418,0.011867908311335409,-0.0694518096649761
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_extreme_lag1",0.01165479688423357,0.004385499703105159,0.014852162849290204,0.005141173913396552,-0.05554520513318972,0.053585699273748164,0.011908683151203936,0.016490691898512367,0.10987947487778238,0.008564093918448833,0.011444013809996099,0.005580570192261658
xgboost,macro_mean,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_mean_lag1",0.011643999212762863,0.004352650789045673,0.014862126719472388,0.0050782171797099365,-0.05884182676849492,0.0516740042031681,0.01192039947349401,0.016450950993376463,0.11416450687563795,0.00855928279135763,0.011404281438096601,0.012473615750584366
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_extreme_lag1",0.01159642066286566,0.004265205679714923,0.014813796268187495,0.00498629729284357,-0.0542541835224315,0.05494963117536515,0.011871525042301906,0.01643369614086857,0.11602177881621945,0.008531827659914889,0.011386161825124244,0.01560917162443265
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_std_lag1",0.01159834624822159,0.004315380200926903,0.014829708889902543,0.005051919659162587,-0.054571773900460085,0.048113852612185946,0.011843556856579462,0.01638268992627619,0.12150057199166375,0.008662065914677195,0.01156415456985451,-0.015408117061962212
xgboost,macro_only,RQ1_macro_baseline,2,"dgs10_lag1, vix_lag1",0.01189726454563207,0.004173339042286654,0.015052389329438946,0.004947378495206585,-0.09313864564313994,0.08739186900916181,0.012141161837434326,0.0170117758735114,0.05273745661902418,0.00854044068373309,0.01147344941049987,0.0004584201263282406
xgboost,macro_std,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_std_lag1",0.011684777588276655,0.004408723900187085,0.014842351557108495,0.005188445796117728,-0.05236343446610022,0.04283902174571933,0.011960857595191965,0.01654251109983924,0.10427658016603603,0.008730906914284685,0.011688424142429495,-0.03734873134894223
xgboost,sentiment_extreme_only,RQ2_standalone_sentiment,1,sentiment_extreme_lag1,0.0117054609958899,0.004613498225215034,0.014873583293140459,0.005423618737848608,-0.05001213533645791,0.04059555591628743,0.012127485153586193,0.017076943368792452,0.04546614472132282,0.008737000343880238,0.011595310238815902,-0.02088682885024551
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,1,sentiment_mean_lag1,0.011757910051099654,0.00422900106404041,0.014935937630015468,0.0050119354297034424,-0.07184085650893383,0.055620911800803106,0.01211250123426637,0.016942603454134463,0.06042521671150236,0.008664986936235533,0.011573270669417528,-0.017009653938806046
xgboost,sentiment_std_only,RQ2_standalone_sentiment,1,sentiment_std_lag1,0.011668458285356143,0.004264348585540931,0.01487285166965203,0.005037186512483878,-0.062026106444958616,0.07724120370382849,0.012096873999882874,0.017118771917888177,0.04078431565995522,0.008866293883208075,0.011842879533983683,-0.06494573405710757
