model_family,spec,feature_spec_role,grid_order,params_json,cv_mean_mae,cv_std_mae,cv_mean_rmse,cv_std_rmse,cv_mean_r2,cv_std_r2,n_estimators,max_depth,min_samples_leaf
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,12,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}",0.011580894361032032,0.004319123494431422,0.01476790092247815,0.005033327541666769,-0.04609446571286865,0.05949479369416284,300,4,1
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 1}",0.011606451693834943,0.004356876333252356,0.014804393392383507,0.0050509192035730404,-0.05107083244790123,0.05827248650721779,100,4,1
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,11,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 3}",0.011611053130641882,0.004334595418199988,0.014815819943504926,0.005029664641758871,-0.05367707945918506,0.06568650148445251,300,4,3
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,10,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 5}",0.011620967893364123,0.004316023784447915,0.014817541946271629,0.0050248883172987055,-0.053956699311976886,0.06233162515846142,300,4,5
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,1,"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 5}",0.011646673912851277,0.004338116628904066,0.01485549020184381,0.00502644805598029,-0.059761776374232044,0.06468827791049361,100,4,5
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,2,"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 3}",0.011650454760602115,0.004321989115701957,0.01486566350924863,0.004997474460640176,-0.06258475642937127,0.07603331362771351,100,4,3
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,15,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 1}",0.011822478746631613,0.004377609414264678,0.01503104893115126,0.005065969861962384,-0.0861217638593453,0.0810628006662844,300,6,1
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,6,"{""n_estimators"": 100, ""max_depth"": 6, ""min_samples_leaf"": 1}",0.011898917514287068,0.004405107623793371,0.015086197681255789,0.005080585618553993,-0.09401496516267249,0.07664358667397526,100,6,1
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,14,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 3}",0.011876205275649624,0.004368436114074863,0.015153972614458944,0.005045345916953568,-0.10605494732527632,0.08857580740895103,300,6,3
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,13,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 5}",0.011944474159706446,0.004374086638239866,0.015206320418719957,0.005065512905409914,-0.11377758344172695,0.09241722669300236,300,6,5
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,4,"{""n_estimators"": 100, ""max_depth"": 6, ""min_samples_leaf"": 5}",0.011980617207583803,0.0044074110943367,0.015240326451531888,0.005090377150340766,-0.11821838110804202,0.0896399424546678,100,6,5
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,5,"{""n_estimators"": 100, ""max_depth"": 6, ""min_samples_leaf"": 3}",0.01196561569152639,0.0043321525144238105,0.015254308361072272,0.005000033980129958,-0.12372664077224134,0.10346037075781506,100,6,3
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,18,"{""n_estimators"": 300, ""max_depth"": 8, ""min_samples_leaf"": 1}",0.012173039232586558,0.004501030738859287,0.015456628362610747,0.00522450871880483,-0.14818325713839667,0.08899402292468298,300,8,1
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,9,"{""n_estimators"": 100, ""max_depth"": 8, ""min_samples_leaf"": 1}",0.01219732309483123,0.00450300654191669,0.015475916184636196,0.005186397012007645,-0.15212943703149762,0.0830259951924905,100,8,1
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,17,"{""n_estimators"": 300, ""max_depth"": 8, ""min_samples_leaf"": 3}",0.012236081918697574,0.004509938393784202,0.015605109878314089,0.005199989869663667,-0.17241048571807052,0.08601315897218272,300,8,3
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,16,"{""n_estimators"": 300, ""max_depth"": 8, ""min_samples_leaf"": 5}",0.012269116582910092,0.004427615406374633,0.015606350043196687,0.00513784237815548,-0.17549435872924746,0.10780168104451704,300,8,5
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,7,"{""n_estimators"": 100, ""max_depth"": 8, ""min_samples_leaf"": 5}",0.012327708510613877,0.004465870912911152,0.01568914115203354,0.005167478971413937,-0.18789765394050364,0.10836300157282605,100,8,5
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,8,"{""n_estimators"": 100, ""max_depth"": 8, ""min_samples_leaf"": 3}",0.012417056971197613,0.004428107184470788,0.015809695214129716,0.005143578961169099,-0.20878894660899908,0.12197651921462299,100,8,3
