model_family,spec,feature_spec_role,grid_order,params_json,cv_mean_mae,cv_std_mae,cv_mean_rmse,cv_std_rmse,cv_mean_r2,cv_std_r2,n_estimators,max_depth,min_samples_leaf
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,12,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}",0.011720451960468956,0.004212436307244443,0.014920237839988198,0.004931284429731827,-0.07376227722588184,0.09674044469755923,300,4,1
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,11,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 3}",0.011745012314010006,0.004217869409918122,0.0149444497880218,0.004925515993855104,-0.07789400112377742,0.10187914177172758,300,4,3
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,2,"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 3}",0.011763783632023224,0.004210346798638735,0.014962659274118613,0.004915268793424387,-0.0810068020121016,0.10244248126392992,100,4,3
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,3,"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 1}",0.011769796455111274,0.004179003217796716,0.014969471391963411,0.004892896320590656,-0.08268045687572252,0.10217766570189361,100,4,1
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,10,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 5}",0.011792342912505978,0.004200001453651109,0.01499444315364179,0.004913301239012335,-0.08613818613770767,0.10619066223140865,300,4,5
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,1,"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 5}",0.01181463550491686,0.004209843042235073,0.015004586510653012,0.0049182786029671535,-0.08771068010358236,0.10908693453754635,100,4,5
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,15,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 1}",0.01217231864400993,0.00407155772158958,0.015386810326447009,0.004729303085613389,-0.15980353667919958,0.20667553457388257,300,6,1
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,6,"{""n_estimators"": 100, ""max_depth"": 6, ""min_samples_leaf"": 1}",0.012214706436727436,0.004021621286520112,0.015432000865204826,0.004681031128963494,-0.16806465476951482,0.2040340868528305,100,6,1
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,5,"{""n_estimators"": 100, ""max_depth"": 6, ""min_samples_leaf"": 3}",0.012244479577539403,0.004072890921076013,0.015503915973983,0.004715933231055615,-0.1777060171888379,0.1958880498275552,100,6,3
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,14,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 3}",0.012265769298500415,0.0040473782179803585,0.015527069143278662,0.004671765744936603,-0.18568732128251453,0.22850903750323154,300,6,3
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,4,"{""n_estimators"": 100, ""max_depth"": 6, ""min_samples_leaf"": 5}",0.012347973832598634,0.004179899396090442,0.015612016027972861,0.004824121597537078,-0.19389084552141175,0.21954118528160185,100,6,5
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,13,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 5}",0.012367488651314111,0.004062721279630324,0.01564760920784678,0.004688388834428645,-0.20659231124789335,0.25012142618440775,300,6,5
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,18,"{""n_estimators"": 300, ""max_depth"": 8, ""min_samples_leaf"": 1}",0.012675741455684503,0.003996620558319569,0.016003149519528474,0.004580401772513567,-0.27268608732837896,0.2998941713669943,300,8,1
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,9,"{""n_estimators"": 100, ""max_depth"": 8, ""min_samples_leaf"": 1}",0.012661860711423069,0.003988715293212866,0.016035020899511726,0.004543449410526279,-0.2796706355685212,0.30572947211006035,100,8,1
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,17,"{""n_estimators"": 300, ""max_depth"": 8, ""min_samples_leaf"": 3}",0.012719773482641241,0.004079322521685356,0.016079477107516102,0.00466374761283657,-0.28276088335035793,0.3004081869663055,300,8,3
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,16,"{""n_estimators"": 300, ""max_depth"": 8, ""min_samples_leaf"": 5}",0.012764265876234922,0.004084905981589744,0.016122975651346533,0.0046619414186115276,-0.2945604803204774,0.3374772646290387,300,8,5
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,8,"{""n_estimators"": 100, ""max_depth"": 8, ""min_samples_leaf"": 3}",0.012741676359542283,0.004178118514156362,0.016149167138929246,0.004774127097777178,-0.28882647154225793,0.28218687353493827,100,8,3
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,7,"{""n_estimators"": 100, ""max_depth"": 8, ""min_samples_leaf"": 5}",0.01285510077954762,0.00425054394603027,0.01620536276443865,0.0048516275329297505,-0.3012522379607209,0.3281696915687241,100,8,5
