model_family,spec,feature_spec_role,grid_order,params_json,cv_mean_mae,cv_std_mae,cv_mean_rmse,cv_std_rmse,cv_mean_r2,cv_std_r2,n_estimators,max_depth,min_samples_leaf
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,12,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}",0.011568624437638215,0.004333610759427057,0.014748445917796914,0.005077187694802296,-0.04160960976011944,0.050826164484030115,300,4,1
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,3,"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 1}",0.011569458589407637,0.004334964207386292,0.014758507024053916,0.0050735117262726654,-0.043175846118787144,0.04875369231580364,100,4,1
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,11,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 3}",0.011659378805147768,0.004365264402011925,0.014878171181227277,0.005066236548281785,-0.062365891862249834,0.07280233692439081,300,4,3
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,2,"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 3}",0.011715810759075818,0.004346034361839375,0.014944123128728828,0.005036204333560609,-0.07398631474514168,0.08859254932605097,100,4,3
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,10,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 5}",0.011736469447099418,0.00439458737820501,0.014962129288009454,0.005080456339693292,-0.07490731786842542,0.07605926666572432,300,4,5
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,1,"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 5}",0.011809589942299996,0.0043741330470038,0.015041623800602545,0.005052829249987368,-0.0889446195068239,0.09850520513400683,100,4,5
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,6,"{""n_estimators"": 100, ""max_depth"": 6, ""min_samples_leaf"": 1}",0.01190877612502052,0.004350379125776554,0.015123641052971424,0.0050638087151129735,-0.10098314489483262,0.09229334344161173,100,6,1
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,15,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 1}",0.011933435583605337,0.004380239069479088,0.015126059950520769,0.0051092327173285585,-0.10041970762859731,0.10039147418292611,300,6,1
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,14,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 3}",0.012019331207576074,0.004437847750421412,0.015284416271125034,0.005117670760041253,-0.12527922572930086,0.10941328412123626,300,6,3
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,5,"{""n_estimators"": 100, ""max_depth"": 6, ""min_samples_leaf"": 3}",0.012055626404134552,0.004486423246257816,0.015331484740579568,0.005155258340960658,-0.1313538789640575,0.1059733767122235,100,6,3
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,13,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 5}",0.012104407923564256,0.004547330969980923,0.015402503048801178,0.00521460695883218,-0.14039540846330092,0.09897762093240968,300,6,5
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,4,"{""n_estimators"": 100, ""max_depth"": 6, ""min_samples_leaf"": 5}",0.012214879664053942,0.004616389170366056,0.015499336237344107,0.0052997826939426285,-0.15365709696497679,0.10934596433933214,100,6,5
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,18,"{""n_estimators"": 300, ""max_depth"": 8, ""min_samples_leaf"": 1}",0.012430358292976118,0.004539474531825121,0.015684664744435767,0.005336425515863385,-0.1826100012433763,0.11900272636852154,300,8,1
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,16,"{""n_estimators"": 300, ""max_depth"": 8, ""min_samples_leaf"": 5}",0.012448818453146734,0.004598382757863009,0.015797114604721354,0.005286749488157462,-0.20246560597520577,0.1232079595589771,300,8,5
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,9,"{""n_estimators"": 100, ""max_depth"": 8, ""min_samples_leaf"": 1}",0.012524924184979797,0.004686268794760229,0.015798032133352815,0.005515488388354358,-0.1946763648857989,0.10681197154791425,100,8,1
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,17,"{""n_estimators"": 300, ""max_depth"": 8, ""min_samples_leaf"": 3}",0.012496118329709205,0.0045949451578304375,0.015835842381132902,0.005342964950821045,-0.2073922756279251,0.1298996914874172,300,8,3
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,7,"{""n_estimators"": 100, ""max_depth"": 8, ""min_samples_leaf"": 5}",0.012621903807106967,0.004706223116353041,0.015955219296622653,0.005450317400595312,-0.22369660233125885,0.13377203622845785,100,8,5
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,8,"{""n_estimators"": 100, ""max_depth"": 8, ""min_samples_leaf"": 3}",0.012637121449719622,0.004700373884816099,0.015971598581698943,0.005483166260580843,-0.2250412871815096,0.12863572759779968,100,8,3
