model_family,spec,feature_spec_role,grid_order,params_json,cv_mean_mae,cv_std_mae,cv_mean_rmse,cv_std_rmse,cv_mean_r2,cv_std_r2,n_estimators,learning_rate,max_depth
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,4,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}",0.01165479688423357,0.004385499703105159,0.014852162849290204,0.005141173913396552,-0.05554520513318972,0.053585699273748164,100,0.03,2
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,5,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 3}",0.011784133722252269,0.00435593754278847,0.01501444647813445,0.005121999280004587,-0.08189829668423883,0.08041019548722728,100,0.03,3
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,6,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 4}",0.011931883743895472,0.004485175175013988,0.015154910953870638,0.005213470484022409,-0.10141531713283018,0.09245983077612378,100,0.03,4
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,1,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 2}",0.011929291688256337,0.004463301578423094,0.015165500251465675,0.00517448783827523,-0.10400327157127946,0.08786203289936378,100,0.05,2
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,2,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 3}",0.012293600883651059,0.004584129148650404,0.015591333576519989,0.005376843152868322,-0.1673126755047422,0.13333950932651215,100,0.05,3
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,10,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 2}",0.012341602055127951,0.0045932409246386115,0.01571245739380647,0.005313025613599512,-0.18627659307598235,0.08810412647748976,300,0.03,2
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 4}",0.012638329896336531,0.004430945560790171,0.016016852472104968,0.005194088921781909,-0.24126877139133351,0.12656561207942438,100,0.05,4
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,11,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 3}",0.012999347482379195,0.004441229331557686,0.016447176352500776,0.005208249328071707,-0.3143339906138202,0.15892438797063718,300,0.03,3
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,7,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 2}",0.01314066081050821,0.004845809032791084,0.016640825527935568,0.005595347119620204,-0.33257504438681756,0.11943333929738234,300,0.05,2
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,12,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 4}",0.01352371449250111,0.004298184762401102,0.01700214322863023,0.005040419906362485,-0.41391203279276484,0.1460725793008745,300,0.03,4
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,8,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 3}",0.014425570748535116,0.004718064370704141,0.017989827543494187,0.005581898004384941,-0.5751055977379055,0.16996322194153504,300,0.05,3
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,9,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 4}",0.014857341416662352,0.004433195536987336,0.018610657741931807,0.005245087523800141,-0.7062670672016568,0.22065721641469938,300,0.05,4
