model_family,spec,feature_spec_role,grid_order,params_json,cv_mean_mae,cv_std_mae,cv_mean_rmse,cv_std_rmse,cv_mean_r2,cv_std_r2,n_estimators,learning_rate,max_depth
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,4,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}",0.01159642066286566,0.004265205679714923,0.014813796268187495,0.00498629729284357,-0.0542541835224315,0.05494963117536515,100,0.03,2
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,5,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 3}",0.011877217813408536,0.004233943156240902,0.015083762198539963,0.0049138254651329445,-0.09937179183669904,0.09625423726307797,100,0.03,3
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,1,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 2}",0.011861242944482195,0.004166312414244445,0.01512622155185186,0.004826564104551239,-0.10883414066810142,0.1036190270961173,100,0.05,2
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,6,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 4}",0.011985174591079858,0.004249907908728068,0.015241402078780478,0.004875500822745469,-0.125485066503646,0.10622010101032056,100,0.03,4
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,2,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 3}",0.012107158778006286,0.00425884136757353,0.015391968780727497,0.004863579308360578,-0.15037287370286503,0.1224861384194091,100,0.05,3
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,3,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 4}",0.012375295938622638,0.004393811331527936,0.01573201696714842,0.004970130940075395,-0.20105438809449408,0.1147571846501299,100,0.05,4
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,10,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 2}",0.01246811435500989,0.004328801969560766,0.0157924548658753,0.004912401990560894,-0.21546946898829752,0.16195037596085332,300,0.03,2
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,11,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 3}",0.012933710130822486,0.004793598448735513,0.016402776244072822,0.005452655585134691,-0.3001643838289216,0.1729148960982371,300,0.03,3
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,7,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 2}",0.01304330118665623,0.004454961847447294,0.016501575710278677,0.00504577615052225,-0.3361591834841327,0.2525185217494875,300,0.05,2
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,12,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 4}",0.013274898916365546,0.004505500660813083,0.016749048449005866,0.005207947029900395,-0.36585834972914827,0.16165880642043315,300,0.03,4
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,8,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 3}",0.013711706863527679,0.0050272508558268205,0.017373942789859143,0.005835698271898417,-0.45414417628397263,0.15526594205481412,300,0.05,3
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,9,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 4}",0.013986523449188179,0.004400342628698762,0.017614844030604,0.005062451895941569,-0.5269713044109383,0.21642021431744776,300,0.05,4
