model_family,spec,feature_spec_role,grid_order,params_json,cv_mean_mae,cv_std_mae,cv_mean_rmse,cv_std_rmse,cv_mean_r2,cv_std_r2,n_estimators,learning_rate,max_depth
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,4,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}",0.01159834624822159,0.004315380200926903,0.014829708889902543,0.005051919659162587,-0.054571773900460085,0.048113852612185946,100,0.03,2
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,5,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 3}",0.011881759687602612,0.004237791372269779,0.015083241148255253,0.004956111141436999,-0.09815553235201631,0.09805721584115858,100,0.03,3
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,1,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 2}",0.011852320282370253,0.00413186431785824,0.015129235472999455,0.004822013201547243,-0.10953138568775052,0.10550341642953247,100,0.05,2
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,6,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 4}",0.01204613913002949,0.004298649543638445,0.015283118804355665,0.004950568126270601,-0.12939732891247427,0.09775753005780238,100,0.03,4
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,2,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 3}",0.012294716707948425,0.004324209201210386,0.01556792039036692,0.004943010956560877,-0.17675626391257024,0.13584633667475543,100,0.05,3
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,3,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 4}",0.012389667266730707,0.004189610702327869,0.015755844977636314,0.004734476179380604,-0.21383121415976833,0.14753303913861995,100,0.05,4
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,10,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 2}",0.012433794276085224,0.004326798499317229,0.015795898211167263,0.004968168665382774,-0.21260217592170258,0.1352080445089064,300,0.03,2
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,11,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 3}",0.012978465651950592,0.0044726678191096885,0.01641446186836489,0.005146462564768482,-0.3128984051476433,0.18927824762450635,300,0.03,3
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,7,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 2}",0.013192858053708267,0.004353126794487625,0.01674089929399503,0.005053014092922104,-0.3724032854398816,0.20475520584570445,300,0.05,2
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,12,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 4}",0.013440846750264197,0.004318925913206631,0.016919494958395908,0.004983336833480825,-0.4035807693461521,0.17988591608560414,300,0.03,4
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,8,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 3}",0.013738811954047138,0.004435960621244378,0.01738948218704166,0.005235557280440665,-0.482041697047896,0.2310178287657342,300,0.05,3
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,9,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 4}",0.014374745097715864,0.003992097672963923,0.018106183929810258,0.004653941035330294,-0.6357119575561827,0.2795903352623197,300,0.05,4
