model_family,spec,feature_spec_role,grid_order,params_json,cv_mean_mae,cv_std_mae,cv_mean_rmse,cv_std_rmse,cv_mean_r2,cv_std_r2,n_estimators,learning_rate,max_depth
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,4,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}",0.011757910051099654,0.00422900106404041,0.014935937630015468,0.0050119354297034424,-0.07184085650893383,0.055620911800803106,100,0.03,2
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,5,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 3}",0.011926565046135616,0.004069118875285508,0.015128235485961742,0.004839763151779437,-0.1079081655148894,0.09570075629875446,100,0.03,3
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,1,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 2}",0.011942787476736036,0.004062256646591023,0.015164241800762446,0.004828773990723892,-0.11450916781140134,0.11145777941815375,100,0.05,2
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,6,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 4}",0.012200112669556227,0.003959691003234542,0.015494066570422245,0.004648183381660894,-0.17450912475569202,0.15901567583824205,100,0.03,4
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,10,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 2}",0.012342612554136453,0.003855274783573186,0.015615441781536505,0.004591893712324386,-0.19787957093549946,0.1915070429552816,300,0.03,2
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,2,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 3}",0.012302142928732501,0.003841694023809822,0.01561569454053277,0.004591733283396019,-0.19802916970770967,0.19287199020645243,100,0.05,3
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,7,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 2}",0.012728873081387338,0.0037057737969189647,0.016145621682687794,0.004415540058492596,-0.29767107029738354,0.2799695749063299,300,0.05,2
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,3,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 4}",0.012736096789472823,0.003749629393538178,0.016200832133521685,0.004426125209858342,-0.30639526963977753,0.27894772322539957,100,0.05,4
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,11,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 3}",0.012832139278778042,0.003689916150602642,0.016348826467685068,0.004356473870061046,-0.3378876293066288,0.3212997949167227,300,0.03,3
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,8,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 3}",0.013474641863543904,0.0035143248006947896,0.017265277415257168,0.004221806727337455,-0.5256603013382541,0.5087004735733649,300,0.05,3
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,12,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 4}",0.013534923396425737,0.0034811643183830453,0.017347521948788903,0.004188024631042297,-0.5429771966635568,0.5194042911545338,300,0.03,4
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,9,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 4}",0.014368484007918453,0.0032453986310070344,0.018456791435717747,0.004086040333504319,-0.7987911136539313,0.7878415856350438,300,0.05,4
