model_family,spec,feature_spec_role,grid_order,params_json,cv_mean_mae,cv_std_mae,cv_mean_rmse,cv_std_rmse,cv_mean_r2,cv_std_r2,n_estimators,learning_rate,max_depth
xgboost,macro_only,RQ1_macro_baseline,4,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}",0.01189726454563207,0.004173339042286654,0.015052389329438946,0.004947378495206585,-0.09313864564313994,0.08739186900916181,100,0.03,2
xgboost,macro_only,RQ1_macro_baseline,5,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 3}",0.012217515960519822,0.0037816223535356032,0.01538939514500206,0.00456772638060192,-0.1583259561582877,0.12034798131290018,100,0.03,3
xgboost,macro_only,RQ1_macro_baseline,1,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 2}",0.012256204176262274,0.003894871786099434,0.015433645693564063,0.004642596123654891,-0.1647003668202395,0.1437962984124126,100,0.05,2
xgboost,macro_only,RQ1_macro_baseline,6,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 4}",0.01250373748006675,0.0036572377210892016,0.01579584722501468,0.004322988854445092,-0.2347528250240006,0.181756194671561,100,0.03,4
xgboost,macro_only,RQ1_macro_baseline,10,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 2}",0.01269476535414208,0.0035896865557118016,0.01596115708419719,0.004274235218945582,-0.2644219355685067,0.1973832673940526,300,0.03,2
xgboost,macro_only,RQ1_macro_baseline,2,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 3}",0.012776415723631135,0.00338283358358128,0.016041524303404334,0.0040721017724784534,-0.2857019162665855,0.22292887126323063,100,0.05,3
xgboost,macro_only,RQ1_macro_baseline,7,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 2}",0.013288618880244246,0.0031087728827495446,0.016687733411643965,0.0036809025537597358,-0.4160801960609129,0.3188989086103466,300,0.05,2
xgboost,macro_only,RQ1_macro_baseline,3,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 4}",0.013225263032359437,0.003119906822805064,0.016721874886123193,0.003635091354659506,-0.424446530611271,0.32869073665640475,100,0.05,4
xgboost,macro_only,RQ1_macro_baseline,11,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 3}",0.013510878127503336,0.002814308339373177,0.01708331043495485,0.0032750774932701014,-0.5079571851330137,0.40490610487336465,300,0.03,3
xgboost,macro_only,RQ1_macro_baseline,8,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 3}",0.014317280723850098,0.0022677513670191873,0.018076494381581043,0.002606441484119032,-0.7358822074621214,0.5834323782354525,300,0.05,3
